date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-06-2025,Tamil Nadu,Vellore,635810,154,65,16
03-09-2025,Tamil Nadu,Vellore,631051,2,1,0
03-09-2025,Tamil Nadu,Vellore,631052,16,0,0
03-09-2025,Tamil Nadu,Vellore,631101,1,0,0
03-09-2025,Tamil Nadu,Vellore,631102,2,1,0
03-09-2025,Tamil Nadu,Vellore,632007,1,0,0
03-09-2025,Tamil Nadu,Vellore,632104,1,0,0
03-09-2025,Tamil Nadu,Vellore,632204,1,0,0
03-09-2025,Tamil Nadu,Vellore,632311,1,0,0
03-09-2025,Tamil Nadu,Vellore,632405,2,0,0
03-09-2025,Tamil Nadu,Vellore,632515,2,0,0
03-09-2025,Tamil Nadu,Vellore,632601,1,0,0
03-09-2025,Tamil Nadu,Vellore,635651,1,0,0
03-09-2025,Tamil Nadu,Vellore,635751,11,0,0
03-09-2025,Tamil Nadu,Vellore,635803,1,0,0
03-09-2025,Tamil Nadu,Vellore,635814,1,0,0
03-09-2025,Tamil Nadu,Vellore,635852,1,0,0
02-09-2025,Tamil Nadu,Vellore,632009,2,0,0
02-09-2025,Tamil Nadu,Vellore,632011,1,0,0
02-09-2025,Tamil Nadu,Vellore,632101,3,0,0
02-09-2025,Tamil Nadu,Vellore,632102,0,1,0
02-09-2025,Tamil Nadu,Vellore,632103,0,4,0
02-09-2025,Tamil Nadu,Vellore,632104,1,1,0
02-09-2025,Tamil Nadu,Vellore,635805,2,0,0
02-09-2025,Tamil Nadu,Vellore,635806,2,0,0
02-09-2025,Tamil Nadu,Vellore,635811,1,0,0
01-09-2025,Tamil Nadu,Vellore,631002,4,0,0
01-09-2025,Tamil Nadu,Vellore,631051,4,0,0
01-09-2025,Tamil Nadu,Vellore,631151,1,0,0
01-09-2025,Tamil Nadu,Vellore,632107,1,1,0
01-09-2025,Tamil Nadu,Vellore,632501,1,0,0
01-09-2025,Tamil Nadu,Vellore,632507,3,1,0
01-09-2025,Tamil Nadu,Vellore,632514,3,0,0
01-09-2025,Tamil Nadu,Vellore,632515,1,1,0
01-09-2025,Tamil Nadu,Vellore,632519,1,0,0
01-09-2025,Tamil Nadu,Vellore,632531,1,1,0
01-09-2025,Tamil Nadu,Vellore,632601,1,0,0
01-09-2025,Tamil Nadu,Vellore,635602,0,1,0
01-09-2025,Tamil Nadu,Vellore,635652,1,0,0
01-09-2025,Tamil Nadu,Vellore,635702,1,0,0
01-09-2025,Tamil Nadu,Vellore,635807,2,0,0
01-09-2025,Tamil Nadu,Vellore,635854,6,0,0
06-09-2025,Tamil Nadu,Vellore,631003,1,0,0
06-09-2025,Tamil Nadu,Vellore,632007,1,1,0
06-09-2025,Tamil Nadu,Vellore,632008,1,0,0
06-09-2025,Tamil Nadu,Vellore,632057,1,0,0
06-09-2025,Tamil Nadu,Vellore,632319,1,0,0
06-09-2025,Tamil Nadu,Vellore,632502,1,0,0
06-09-2025,Tamil Nadu,Vellore,632508,1,0,0
06-09-2025,Tamil Nadu,Vellore,632515,1,0,0
06-09-2025,Tamil Nadu,Vellore,635751,1,1,0
06-09-2025,Tamil Nadu,Vellore,635805,1,0,0
06-09-2025,Tamil Nadu,Vellore,635811,1,0,0
04-09-2025,Tamil Nadu,Vellore,631051,1,0,0
04-09-2025,Tamil Nadu,Vellore,631101,1,0,0
04-09-2025,Tamil Nadu,Vellore,632201,1,0,0
04-09-2025,Tamil Nadu,Vellore,632514,1,0,0
04-09-2025,Tamil Nadu,Vellore,632602,1,1,0
04-09-2025,Tamil Nadu,Vellore,635702,2,1,0
04-09-2025,Tamil Nadu,Vellore,635806,2,0,0
04-09-2025,Tamil Nadu,Vellore,635809,2,1,0
04-09-2025,Tamil Nadu,Vellore,635853,1,0,0
07-09-2025,Tamil Nadu,Vellore,632501,0,1,0
09-09-2025,Tamil Nadu,Vellore,631004,1,0,0
09-09-2025,Tamil Nadu,Vellore,632011,1,0,0
09-09-2025,Tamil Nadu,Vellore,632107,1,0,0
09-09-2025,Tamil Nadu,Vellore,632401,2,0,0
09-09-2025,Tamil Nadu,Vellore,632405,5,2,0
09-09-2025,Tamil Nadu,Vellore,632505,1,0,0
09-09-2025,Tamil Nadu,Vellore,632531,1,1,0
09-09-2025,Tamil Nadu,Vellore,635701,4,0,0
09-09-2025,Tamil Nadu,Vellore,635901,3,0,0
08-09-2025,Tamil Nadu,Vellore,631004,1,0,0
08-09-2025,Tamil Nadu,Vellore,631102,3,0,0
08-09-2025,Tamil Nadu,Vellore,632002,1,0,0
08-09-2025,Tamil Nadu,Vellore,632008,1,0,0
08-09-2025,Tamil Nadu,Vellore,632009,2,1,0
08-09-2025,Tamil Nadu,Vellore,632203,1,0,0
08-09-2025,Tamil Nadu,Vellore,632508,2,1,0
08-09-2025,Tamil Nadu,Vellore,632515,1,0,0
08-09-2025,Tamil Nadu,Vellore,632516,1,0,0
08-09-2025,Tamil Nadu,Vellore,632520,1,0,0
08-09-2025,Tamil Nadu,Vellore,632603,3,0,0
08-09-2025,Tamil Nadu,Vellore,635652,1,2,0
08-09-2025,Tamil Nadu,Vellore,635653,2,0,0
08-09-2025,Tamil Nadu,Vellore,635751,7,1,0
08-09-2025,Tamil Nadu,Vellore,635754,3,1,0
08-09-2025,Tamil Nadu,Vellore,635807,1,0,0
08-09-2025,Tamil Nadu,Vellore,635853,1,0,0
10-09-2025,Tamil Nadu,Vellore,631002,1,0,0
10-09-2025,Tamil Nadu,Vellore,631101,0,1,0
10-09-2025,Tamil Nadu,Vellore,632105,2,0,0
10-09-2025,Tamil Nadu,Vellore,632106,3,0,0
10-09-2025,Tamil Nadu,Vellore,632113,1,0,0
10-09-2025,Tamil Nadu,Vellore,632312,1,0,0
10-09-2025,Tamil Nadu,Vellore,632401,1,0,0
10-09-2025,Tamil Nadu,Vellore,632403,0,1,0
10-09-2025,Tamil Nadu,Vellore,632404,2,0,0
10-09-2025,Tamil Nadu,Vellore,632506,6,1,0
10-09-2025,Tamil Nadu,Vellore,632510,1,0,0
10-09-2025,Tamil Nadu,Vellore,635751,4,0,0
10-09-2025,Tamil Nadu,Vellore,635752,2,0,0
10-09-2025,Tamil Nadu,Vellore,635801,1,0,0
10-09-2025,Tamil Nadu,Vellore,635803,4,0,0
11-09-2025,Tamil Nadu,Vellore,631102,4,0,0
11-09-2025,Tamil Nadu,Vellore,632058,0,1,0
11-09-2025,Tamil Nadu,Vellore,632209,1,0,0
11-09-2025,Tamil Nadu,Vellore,632403,0,1,0
11-09-2025,Tamil Nadu,Vellore,632501,5,1,0
11-09-2025,Tamil Nadu,Vellore,632503,3,0,0
11-09-2025,Tamil Nadu,Vellore,632508,3,0,0
11-09-2025,Tamil Nadu,Vellore,632515,2,0,0
11-09-2025,Tamil Nadu,Vellore,635652,2,1,0
11-09-2025,Tamil Nadu,Vellore,635701,1,0,0
11-09-2025,Tamil Nadu,Vellore,635702,1,0,0
13-09-2025,Tamil Nadu,Vellore,631051,1,0,0
13-09-2025,Tamil Nadu,Vellore,632002,5,0,0
13-09-2025,Tamil Nadu,Vellore,632004,1,1,0
13-09-2025,Tamil Nadu,Vellore,632006,2,0,0
13-09-2025,Tamil Nadu,Vellore,632013,2,0,0
13-09-2025,Tamil Nadu,Vellore,632058,1,0,0
13-09-2025,Tamil Nadu,Vellore,632311,2,0,0
13-09-2025,Tamil Nadu,Vellore,632312,2,0,0
13-09-2025,Tamil Nadu,Vellore,632520,1,1,0
13-09-2025,Tamil Nadu,Vellore,635602,2,0,0
13-09-2025,Tamil Nadu,Vellore,635653,2,0,0
13-09-2025,Tamil Nadu,Vellore,635752,2,0,0
13-09-2025,Tamil Nadu,Vellore,635754,1,0,0
13-09-2025,Tamil Nadu,Vellore,635805,3,0,0
13-09-2025,Tamil Nadu,Vellore,635808,1,1,0
13-09-2025,Tamil Nadu,Vellore,635854,1,0,0
13-09-2025,Tamil Nadu,Vellore,635901,1,1,0
12-09-2025,Tamil Nadu,Vellore,632001,7,1,0
12-09-2025,Tamil Nadu,Vellore,632057,1,0,0
